SourceProject,TargetProject
AccelQ                               ,AccelQ                               
Agile Test Project                   ,Agile Test Project                   
Application Development              ,Application Development              
BI - Continuous Improvement Efforts  ,BI - Continuous Improvement Efforts  
BI - Data Ops                        ,BI - Data Ops                        
BI - Epic Platform                   ,BI - Epic Platform                   
BI - Health Plan Software            ,BI - Health Plan Software            
BI - OPS Clinical                    ,BI - OPS Clinical                    
BI - Pharmacy Healthplan Services    ,BI - Pharmacy Healthplan Services    
BI - Power BI Repo                   ,BI - Power BI Repo                   
BI - Sales Marketing and Supply Chain,BI - Sales Marketing and Supply Chain
BI and Analytics                     ,BI and Analytics                     
BI Test                              ,BI Test                              
Business Intelligence OLD            ,Business Intelligence OLD            
CATT Team                            ,CATT Team                            
citizen developer                    ,citizen developer                    
Digital Health EPIC                  ,Digital Health EPIC                  
DSA - OPS                            ,DSA - OPS                            
eBiz Projects                        ,eBiz Projects                        
Enrollment Work Queue                ,Enrollment Work Queue                
EPIC Team                            ,EPIC Team                            
EPM Project                          ,EPM Project                          
ERP Projects                         ,ERP Projects                         
GRC                                  ,GRC                                  
HCE DataOps                          ,HCE DataOps                          
HCM                                  ,HCM                                  
HR - Mixed Working Arrangement Tools ,HR - Mixed Working Arrangement Tools 
iBPA                                 ,iBPA                                 
iBPA - CoPilot Agents                ,iBPA - CoPilot Agents                
iBPA - OnPrem SharePoint             ,iBPA - OnPrem SharePoint             
iBPA-MOVEit                          ,iBPA-MOVEit                          
Johns-Environment                    ,Johns-Environment                    
KCA Broker Portal                    ,KCA Broker Portal                    
KCA Broker Portal Test Project       ,KCA Broker Portal Test Project       
KCA Member Materials                 ,KCA Member Materials                 
KCA OTC Pharmacy Rewards             ,KCA OTC Pharmacy Rewards             
KCA Public Website                   ,KCA Public Website                   
KCA Systems Support                  ,KCA Systems Support                  
KETS             ,KETS             
MCA - Informatics                    ,MCA - Informatics                    
MCA - Risk Adjustment                ,MCA - Risk Adjustment                
MCA Base Queries                     ,MCA Base Queries                     
Provider Data Management             ,Provider Data Management             
Risk Adjustment Ops                  ,Risk Adjustment Ops                  
SCM Projects                         ,SCM Projects                         
Sitecore Public Website              ,Sitecore Public Website              
Sonarqube Test                       ,Sonarqube Test                       
tagging-test                         ,tagging-test                         
Twilio Messaging                     ,Twilio Messaging                     
Virtual Care                         ,Virtual Care                         
