"Source Server","Source Server IP","Source Server Site","Destination Server","Destination Server IP","Destination Server Site","Port","Protocol","Description","Default Authentication","Supported Authentication","Encryption Supported","Encrypted by Default","Notes"
"TMG1","10.12.12.12","Chicago","HUBCAS1","10.12.100.10","Chicago","443","TCP","HTTPS","Varies","Varies","Varies","Yes",""
"TMG1","10.12.12.12","Chicago","HUBCAS1","10.12.100.10","Chicago","80","TCP","HTTP","Varies","Varies","Varies","No",""
"TMG1","10.12.12.12","Chicago","HUBCAS2","10.12.100.11","Chicago","443","TCP","HTTPS","Varies","Varies","Varies","Yes",""
"TMG1","10.12.12.12","Chicago","HUBCAS2","10.12.100.11","Chicago","80","TCP","HTTP","Varies","Varies","Varies","No",""
"TMG2","10.12.12.13","Chicago","HUBCAS1","10.12.100.10","Chicago","443","TCP","HTTPS","Varies","Varies","Varies","Yes",""
"TMG2","10.12.12.13","Chicago","HUBCAS1","10.12.100.10","Chicago","80","TCP","HTTP","Varies","Varies","Varies","No",""
"TMG2","10.12.12.13","Chicago","HUBCAS2","10.12.100.11","Chicago","443","TCP","HTTPS","Varies","Varies","Varies","Yes",""
"TMG2","10.12.12.13","Chicago","HUBCAS2","10.12.100.11","Chicago","80","TCP","HTTP","Varies","Varies","Varies","No",""
"HUBCAS1","10.12.100.10","Chicago","HUBCAS3","10.13.100.10","Toronto","80","TCP","HTTP","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS1","10.12.100.10","Chicago","HUBCAS3","10.13.100.10","Toronto","443","TCP","HTTPS","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS1","10.12.100.10","Chicago","HUBCAS3","10.13.100.10","Toronto","995","TCP","POP3-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS1","10.12.100.10","Chicago","HUBCAS3","10.13.100.10","Toronto","993","TCP","IMAP-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS1","10.12.100.10","Chicago","EU-HUBCAS1","10.20.10.10","Paris","80","TCP","HTTP","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS1","10.12.100.10","Chicago","EU-HUBCAS1","10.20.10.10","Paris","443","TCP","HTTPS","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS1","10.12.100.10","Chicago","EU-HUBCAS1","10.20.10.10","Paris","995","TCP","POP3-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS1","10.12.100.10","Chicago","EU-HUBCAS1","10.20.10.10","Paris","993","TCP","IMAP-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS2","10.12.100.11","Chicago","HUBCAS3","10.13.100.10","Toronto","80","TCP","HTTP","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS2","10.12.100.11","Chicago","HUBCAS3","10.13.100.10","Toronto","443","TCP","HTTPS","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS2","10.12.100.11","Chicago","HUBCAS3","10.13.100.10","Toronto","995","TCP","POP3-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS2","10.12.100.11","Chicago","HUBCAS3","10.13.100.10","Toronto","993","TCP","IMAP-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS2","10.12.100.11","Chicago","EU-HUBCAS1","10.20.10.10","Paris","80","TCP","HTTP","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS2","10.12.100.11","Chicago","EU-HUBCAS1","10.20.10.10","Paris","443","TCP","HTTPS","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS2","10.12.100.11","Chicago","EU-HUBCAS1","10.20.10.10","Paris","995","TCP","POP3-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS2","10.12.100.11","Chicago","EU-HUBCAS1","10.20.10.10","Paris","993","TCP","IMAP-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS1","10.12.100.10","Chicago","HUBCAS3","10.13.100.10","Toronto","25","TCP","SMTP","Kerberos","Kerberos","Yes-using Transport Layer Security (TLS)","Yes",""
"HUBCAS1","10.12.100.10","Chicago","EU-HUBCAS1","10.20.10.10","Paris","25","TCP","SMTP","Kerberos","Kerberos","Yes-using Transport Layer Security (TLS)","Yes",""
"HUBCAS2","10.12.100.11","Chicago","HUBCAS3","10.13.100.10","Toronto","25","TCP","SMTP","Kerberos","Kerberos","Yes-using Transport Layer Security (TLS)","Yes",""
"HUBCAS2","10.12.100.11","Chicago","EU-HUBCAS1","10.20.10.10","Paris","25","TCP","SMTP","Kerberos","Kerberos","Yes-using Transport Layer Security (TLS)","Yes",""
"HUBCAS3","10.13.100.10","Toronto","HUBCAS1","10.12.100.10","Chicago","25","TCP","SMTP","Kerberos","Kerberos","Yes-using Transport Layer Security (TLS)","Yes",""
"HUBCAS3","10.13.100.10","Toronto","HUBCAS2","10.12.100.11","Chicago","25","TCP","SMTP","Kerberos","Kerberos","Yes-using Transport Layer Security (TLS)","Yes",""
"HUBCAS3","10.13.100.10","Toronto","EU-HUBCAS1","10.20.10.10","Paris","25","TCP","SMTP","Kerberos","Kerberos","Yes-using Transport Layer Security (TLS)","Yes",""
"HUBCAS3","10.13.100.10","Toronto","HUBCAS1","10.12.100.10","Chicago","80","TCP","HTTP","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS3","10.13.100.10","Toronto","HUBCAS1","10.12.100.10","Chicago","443","TCP","HTTPS","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS3","10.13.100.10","Toronto","HUBCAS1","10.12.100.10","Chicago","995","TCP","POP3-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS3","10.13.100.10","Toronto","HUBCAS1","10.12.100.10","Chicago","993","TCP","IMAP-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS3","10.13.100.10","Toronto","HUBCAS2","10.12.100.11","Chicago","80","TCP","HTTP","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS3","10.13.100.10","Toronto","HUBCAS2","10.12.100.11","Chicago","443","TCP","HTTPS","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS3","10.13.100.10","Toronto","HUBCAS2","10.12.100.11","Chicago","995","TCP","POP3-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS3","10.13.100.10","Toronto","HUBCAS2","10.12.100.11","Chicago","993","TCP","IMAP-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS3","10.13.100.10","Toronto","EU-HUBCAS1","10.20.10.10","Paris","80","TCP","HTTP","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS3","10.13.100.10","Toronto","EU-HUBCAS1","10.20.10.10","Paris","443","TCP","HTTPS","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"HUBCAS3","10.13.100.10","Toronto","EU-HUBCAS1","10.20.10.10","Paris","995","TCP","POP3-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"HUBCAS3","10.13.100.10","Toronto","EU-HUBCAS1","10.20.10.10","Paris","993","TCP","IMAP-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS1","10.12.100.10","Chicago","25","TCP","SMTP","Kerberos","Kerberos","Yes-using Transport Layer Security (TLS)","Yes",""
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS2","10.12.100.11","Chicago","25","TCP","SMTP","Kerberos","Kerberos","Yes-using Transport Layer Security (TLS)","Yes",""
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS3","10.13.100.10","Toronto","25","TCP","SMTP","Kerberos","Kerberos","Yes-using Transport Layer Security (TLS)","Yes",""
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS1","10.12.100.10","Chicago","80","TCP","HTTP","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS1","10.12.100.10","Chicago","443","TCP","HTTPS","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS1","10.12.100.10","Chicago","995","TCP","POP3-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS1","10.12.100.10","Chicago","993","TCP","IMAP-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS2","10.12.100.11","Chicago","80","TCP","HTTP","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS2","10.12.100.11","Chicago","443","TCP","HTTPS","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS2","10.12.100.11","Chicago","995","TCP","POP3-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS2","10.12.100.11","Chicago","993","TCP","IMAP-SSL","Basic","Basic","Yes-using SSL","Yes","When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption"
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS3","10.13.100.10","Toronto","80","TCP","HTTP","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
"EU-HUBCAS1","10.20.10.10","Paris","HUBCAS3","10.13.100.10","Toronto","443","TCP","HTTPS","Kerberos","Kerberos-Certificate","Yes-using HTTPS","Yes-using a self-signed certificate",""
