Source_Role,Destination_Role,Port,Protocol,Description,DefaultAuthentication,SupportedAuthentication,EncryptionSupported,EncryptedbyDefault,Notes
Client-Access,Database-MAPI,135,TCP,Availability Web service (RPC),NTLM/Kerberos,NTLM/Kerberos,Yes-using RPC encryption,Yes,
Client-Access,DC,389,TCP/UDP,LDAP,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Client-Access,DC,3268,TCP,LDAP GC,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Client-Access,DC,88,TCP/UDP,Kerberos,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Client-Access,DC,53,TCP/UDP,DNS,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Client-Access,DC,135,TCP,RPC Net Logon,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Client-Access,UnifiedMessaging,5060-5062,TCP,TCP,By IP address,By IP address,By IP address,Yes-using Session Initiation Protocol (SIP) over TLS,
Client-Access,Client-Access,80,TCP,HTTP,Kerberos,Kerberos-Certificate,Yes-using HTTPS,Yes-using a self-signed certificate,
Client-Access,Client-Access,443,TCP,HTTPS,Kerberos,Kerberos-Certificate,Yes-using HTTPS,Yes-using a self-signed certificate,
Client-Access,Client-Access,995,TCP,POP3-SSL,Basic,Basic,Yes-using SSL,Yes,When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption
Client-Access,Client-Access,993,TCP,IMAP-SSL,Basic,Basic,Yes-using SSL,Yes,When a Client Access server proxies POP3 requests to another Client Access server-the communication occurs over port 995/TCP-regardless of whether the connecting client uses POP3 and requests TLS (on port 110/TCP) or connects on port 995/TCP using SSL. Similarly-for IMAP4 connections-port 993/TCP is used to proxy requests regardless of whether the connecting client uses IMAP4 and requests TLS (on port 443/TCP) or connects on port 995 using IMAP4 with SSL encryption
Client-Access,Legacy-Exchange,80,TCP,HTTP,???,???,???,???,
Client-Access,Legacy-Exchange,443,TCP,HTTPS,NTLM/Kerberos,Negotiate (Kerberos with fallback to NTLM or optionally Basic-) POP/IMAP plain text,Yes-using IPsec,No,
Client-Access,OCS,5061,TCP,,mTLS (Required),mTLS (Required),Yes-using SSL,Yes,
Client-Access,Database-MAPI,49152-65535,TCP,RPC,Kerberos,NTLM/Kerberos,Yes-using RPC encryption,Yes,
Client-Network,Hub-Transport,587,TCP,SMTP,NTLM/Kerberos,NTLM/Kerberos,Yes-using Transport Layer Security (TLS),Yes,
Client-Network,Hub-Transport,25,TCP,SMTP,NTLM/Kerberos,NTLM/Kerberos,Yes-using Transport Layer Security (TLS),Yes,
Client-Network,DC,389,TCP/UDP,LDAP,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Client-Network,DC,3268,TCP,LDAP GC,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Client-Network,DC,88,TCP/UDP,Kerberos,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Client-Network,DC,53,TCP/UDP,DNS,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Client-Network,DC,135,TCP,RPC Net Logon,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Client-Network,Client-Access,80,TCP,HTTP,Varies,Varies,Varies,Yes,
Client-Network,Client-Access,443,TCP,HTTP,Varies,Varies,Varies,No,
Client-Network,Client-Access,110,TCP,POP3,Basic-Kerberos,Basic-Kerberos,Yes-using SSL-TLS,Yes,Optional-Service not enabled by default
Client-Network,Client-Access,995,TCP,POP3-SSL,Basic-Kerberos,Basic-Kerberos,Yes-using SSL-TLS,Yes,Optional-Service not enabled by default
Client-Network,Client-Access,143,TCP,IMAP4,Basic-Kerberos,Basic-Kerberos,Yes-using SSL-TLS,Yes,Optional-Service not enabled by default
Client-Network,Client-Access,993,TCP,IMAP4-SSL,Basic-Kerberos,Basic-Kerberos,Yes-using SSL-TLS,Yes,Optional-Service not enabled by default
Client-Network,Client-Access,49152-65535,TCP,RPC,Kerberos,NTLM/Kerberos,Yes-using RPC encryption,Yes,Can be set to random static port for outlook anywhere and addressbook access.
Database-MAPI,DC,389,TCP/UDP,LDAP,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Database-MAPI,DC,3268,TCP,LDAP GC,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Database-MAPI,DC,88,TCP/UDP,Kerberos,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Database-MAPI,DC,53,TCP/UDP,DNS,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Database-MAPI,DC,135,TCP,RPC Net Logon,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Database-MAPI,Database-MAPI,135,TCP,Clustering (RPC),NTLM/Kerberos,NTLM/Kerberos,Yes-using IPsec,No,
Database-MAPI,Database-MAPI,3343,UDP,Clustering Communication,???,???,???,???,
Database-MAPI,Database-MAPI,445,TCP,Admin remote access (SMB/File),NTLM/Kerberos,NTLM/Kerberos,Yes-using IPsec,No,
Database-Replication,Database-Replication,64327,TCP,DAG Replication (Seeding/Log Shipping),NTLM/Kerberos,NTLM/Kerberos,Yes,no,Can be changed with Set-DatabaseAvailabilityGroup -Identity <DAGNAME> -ReplicationPort <Port Number>
Edge-Transport,Hub-Transport,25,TCP,SMTP,Direct Trust,Direct Trust,Yes-using Transport Layer Security (TLS),Yes,
Edge-Transport,Edge-Transport,25,TCP,SMTP,Anonymous-Certificate,Anonymous-Certificate,Yes-using Transport Layer Security (TLS),Yes,
Hub-Transport,Hub-Transport,25,TCP,SMTP,Kerberos,Kerberos,Yes-using Transport Layer Security (TLS),Yes,
Hub-Transport,Edge-Transport,25,TCP,SMTP,Direct Trust,Direct Trust,Yes-using Transport Layer Security (TLS),Yes,
Hub-Transport,Database-MAPI,135,TCP,RPC,NTLM. If the Hub Transport and the Mailbox server roles are on the same server-Kerberos is used.,NTLM/Kerberos,Yes-using RPC encryption,Yes,
Hub-Transport,Edge-Transport,50636,TCP,SSL,Basic,Basic,Yes-using LDAP over SSL (LDAPS),Yes,
Hub-Transport,DC,389,TCP/UDP,LDAP,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Hub-Transport,DC,3268,TCP,LDAP GC,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Hub-Transport,DC,88,TCP/UDP,Kerberos,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Hub-Transport,DC,53,TCP/UDP,DNS,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Hub-Transport,DC,135,TCP,RPC Net Logon,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
Hub-Transport,AD-RMS,443,TCP,HTTP,NTLM/Kerberos,NTLM/Kerberos,Yes-using SSL,Yes,
Internet,Edge-Transport,587,TCP,SMTP,NTLM/Kerberos,NTLM/Kerberos,Yes-using TLS,Yes,
Internet,Edge-Transport,25,TCP,SMTP,None,None,None,No,
Internet,Hub-Transport,587,TCP,SMTP,NTLM/Kerberos,NTLM/Kerberos,Yes-using TLS,Yes,This is only needed if you have no Edge-Transport servers and should be limited to your anti-spam provider IPs
Internet,Hub-Transport,25,TCP,SMTP,None,None,None,No,This is only needed if you have no Edge-Transport servers and should be limited to your anti-spam provider IPs
Internet,Client-Access,80,TCP,HTTP,Varies,Varies,Varies,No,This is only if you have no secure reverse proxy in place (bad practice!)
Internet,Client-Access,443,TCP,HTTPS,Varies,Varies,Varies,Yes,This is only if you have no secure reverse proxy in place (bad practice!)
Internet,Client-Access,110,TCP,POP3,Basic-Kerberos,Basic-Kerberos,Yes-using SSL-TLS,Yes,"Optional-Service not enabled by default, This is only needed if you have no Edge-Transport servers and should be limited to your anti-spam provider Ips"
Internet,Client-Access,995,TCP,POP3-SSL,Basic-Kerberos,Basic-Kerberos,Yes-using SSL-TLS,Yes,"Optional-Service not enabled by default, This is only needed if you have no Edge-Transport servers and should be limited to your anti-spam provider Ips"
Internet,Client-Access,143,TCP,IMAP4,Basic-Kerberos,Basic-Kerberos,Yes-using SSL-TLS,Yes,"Optional-Service not enabled by default, This is only needed if you have no Edge-Transport servers and should be limited to your anti-spam provider Ips"
Internet,Client-Access,993,TCP,IMAP4-SSL,Basic-Kerberos,Basic-Kerberos,Yes-using SSL-TLS,Yes,"Optional-Service not enabled by default, This is only needed if you have no Edge-Transport servers and should be limited to your anti-spam provider Ips"
Internet,Proxy-External,80,TCP,HTTP,Varies,Varies,Varies,Yes,
Internet,Proxy-External,443,TCP,HTTP,Varies,Varies,Varies,No,
Database-MAPI,Hub-Transport,135,TCP,RPC,NTLM. If the Hub Transport and the Mailbox server roles are on the same server-Kerberos is used.,NTLM/Kerberos,Yes-using RPC encryption,Yes,
OCS,Client-Access,5075-5077,TCP,???,mTLS (Required),mTLS (Required),Yes-using SSL,Yes,
Proxy-Internal,Client-Access,443,TCP,HTTPS,Varies,Varies,Varies,Yes,
Proxy-Internal,Client-Access,80,TCP,HTTP,Varies,Varies,Varies,No,
Proxy-Internal,Legacy-Exchange,443,TCP,HTTPS,Varies,Varies,Varies,Yes,Only required when migrating to 2010 and you are maintaining the same namespace in a migration
Proxy-Internal,Legacy-Exchange,80,TCP,HTTP,Varies,Varies,Varies,No,Only required when migrating to 2010 and you are maintaining the same namespace in a migration
UnifiedMessaging,Hub-Transport,25,TCP,SMTP,Kerberos,Kerberos,Yes-using Transport Layer Security (TLS),Yes,
UnifiedMessaging,DC,389,TCP/UDP,LDAP,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
UnifiedMessaging,DC,3268,TCP,LDAP GC,Kerberos,Kerberos,Yes-using Kerberos encryption,Yes,
