Role,IP,ServerName,Site,Region,DAG_Name,CAS_Array Name
Proxy-Internal,10.12.12.12,TMG1,Chicago,North America,,
Proxy-Internal,10.12.12.13,TMG2,Chicago,North America,,
Proxy-External,172.176.10.10,TMG1,Chicago,North America,,
Proxy-External,172.176.10.11,TMG2,Chicago,North America,,
Client-Access,10.12.100.10,HUBCAS1,Chicago,North America,,Chi-CAS
Client-Access,10.12.100.11,HUBCAS2,Chicago,North America,,Chi-CAS
Hub-Transport,10.12.100.10,HUBCAS1,Chicago,North America,,
Hub-Transport,10.12.100.11,HUBCAS2,Chicago,North America,,
Edge-Transport,172.176.20.10,EDGE1,Chicago,North America,,
Edge-Transport,172.176.20.11,EDGE2,Chicago,North America,,
Mailbox-MAPI,10.12.100.20,MAILDB1,Chicago,North America,DAG1,
Mailbox-Replication,10.12.200.20,MAILDB1,Chicago,North America,DAG1,
Mailbox-MAPI,10.12.100.21,MailDB2,Chicago,North America,DAG1,
Mailbox-Replication,10.12.200.21,MailDB2,Chicago,North America,DAG1,
Mailbox-MAPI,10.13.100.20,MailDB3,Toronto,North America,DAG1,
Mailbox-Replication,10.13.200.20,MailDB3,Toronto,North America,DAG1,
Hub-Transport,10.13.100.10,HUBCAS3,Toronto,North America,DAG1,
Client-Access,10.13.100.10,HUBCAS3,Toronto,North America,DAG1,
Hub-Transport,10.20.10.10,EU-HUBCAS1,Paris,Europe,,
Client-Access,10.20.10.10,EU-HUBCAS1,Paris,Europe,,
Mailbox-MAPI,10.20.10.20,EU-MAIL1,Paris,Europe,,
Proxy-Internal,10.15.10.10,EU-TMG1,Paris,Europe,,
Proxy-External,172.190.10.10,EU-TMG2,Paris,Europe,,
Client-Network,10.30.0.0/24,End User Network - Paris,Paris,Europe,,
Internet,MessageLabs IP Range,MessageLabs Servers,Toronto,North America,,
Internet,MessageLabs IP Range,MessageLabs Servers,Paris,Europe,,
Internet,*,Public Internet,Chicago,North America,,
