ZoneSetName,NameA,WWPN_A,NameB,WWPN_B
LabFabric,Cntrl-01,50:00:00:00:00:00:AA:11,Cntrl-21,50:00:00:00:00:00:AB:22
,Cntrl-02,50:00:00:00:00:00:AA:33,Cntrl-22,50:00:00:00:00:00:AB:44
,Cntrl-03,50:00:00:00:00:00:BA:15,Cntrl-23,50:00:00:00:00:00:BB:26
,Cntrl-04,50:00:00:00:00:00:BA:37,Cntrl-24,50:00:00:00:00:00:BB:48
,Cntrl-05,50:00:00:00:00:00:BA:90,Cntrl-25,50:00:00:00:00:00:BB:80
,Cntrl-06,50:00:00:00:00:00:BA:91,Cntrl-26,50:00:00:00:00:00:BB:81
,Cntrl-07,50:00:00:00:00:00:BA:92,Cntrl-27,50:00:00:00:00:00:BB:82
,Cntrl-08,50:00:00:00:00:00:BA:93,Cntrl-28,50:00:00:00:00:00:BB:83
,Cntrl-09,50:00:00:00:00:00:BA:94,Cntrl-29,50:00:00:00:00:00:BB:84
,Cntrl-10,50:00:00:00:00:00:BA:95,Cntrl-30,50:00:00:00:00:00:BB:85
,Cntrl-11,50:00:00:00:00:00:BA:96,Cntrl-31,50:00:00:00:00:00:BB:86
,Cntrl-12,50:00:00:00:00:00:BA:97,Cntrl-32,50:00:00:00:00:00:BB:87
,Cntrl-13,50:00:00:00:00:00:BA:98,Cntrl-33,50:00:00:00:00:00:BB:88
,Cntrl-14,50:00:00:00:00:00:BA:99,Cntrl-34,50:00:00:00:00:00:BB:89
,Cntrl-15,50:00:00:00:00:00:BA:9A,Cntrl-35,50:00:00:00:00:00:BB:8A
,Cntrl-16,50:00:00:00:00:00:BA:9B,Cntrl-36,50:00:00:00:00:00:BB:8B
