#TYPE System.Management.Automation.PSCustomObject
"Property","Transport Config"
"",""
"AddressBookPolicyRoutingEnabled","False"
"AdminDisplayName",""
"AgentGeneratedMessageLoopDetectionInSmtpEnabled","True"
"AgentGeneratedMessageLoopDetectionInSubmissionEnabled","True"
"AnonymousSenderToRecipientRatePerHour","1800"
"AttributionRejectBeforeMServRequest","False"
"AttributionRejectConsumerMessages","False"
"ClearCategories","True"
"ConvertDisclaimerWrapperToEml","False"
"ConvertReportToMessage","False"
"CurrentTransportSystemState","Green"
"DiagnosticsAggregationServicePort","9710"
"DistinguishedName","CN=Transport Settings,CN=First National Bank of Marin,CN=Microsoft Exchange,CN=Services,CN=Configuration,DC=fnbm,DC=corp"
"DSNConversionMode","UseExchangeDSNs"
"ExchangeVersion","0.1 (8.0.535.0)"
"ExternalDelayDsnEnabled","True"
"ExternalDsnDefaultLanguage",""
"ExternalDsnLanguageDetectionEnabled","True"
"ExternalDsnMaxMessageAttachSize","10 MB (10,485,760 bytes)"
"ExternalDsnReportingAuthority",""
"ExternalDsnSendHtml","True"
"ExternalPostmasterAddress",""
"GenerateCopyOfDSNFor","5.1.4 5.2.3 5.2.0 5.2.4 5.4.4 5.4.6 5.4.8"
"Guid","1bc0e8ff-3f5b-45d6-9a97-061d1aa8a9f1"
"HeaderPromotionModeSetting","NoCreate"
"HygieneSuite","Standard"
"Id","Transport Settings"
"Identity","Transport Settings"
"InboundProxyPerAccountForestConnectionPercentageThreshold","10"
"InboundProxyPerAccountForestConnectionThresholds",""
"InboundProxyPerDestinationConnectionPercentageThreshold","20"
"InboundProxyPerDestinationConnectionThresholds",""
"InternalDelayDsnEnabled","True"
"InternalDsnDefaultLanguage",""
"InternalDsnLanguageDetectionEnabled","True"
"InternalDsnMaxMessageAttachSize","10 MB (10,485,760 bytes)"
"InternalDsnReportingAuthority",""
"InternalDsnSendHtml","True"
"InternalSMTPServers",""
"IsValid","True"
"JournalArchivingEnabled","False"
"JournalingReportNdrTo","<>"
"JournalReportDLMemberSubstitutionEnabled","False"
"LegacyArchiveJournalingEnabled","False"
"LegacyArchiveLiveJournalingEnabled","False"
"LegacyJournalingMigrationEnabled","False"
"MaxAllowedAgentGeneratedMessageDepth","3"
"MaxAllowedAgentGeneratedMessageDepthPerAgent","2"
"MaxDumpsterSizePerDatabase","18 MB (18,874,368 bytes)"
"MaxDumpsterTime","7.00:00:00"
"MaxReceiveSize","Unlimited"
"MaxRecipientEnvelopeLimit","Unlimited"
"MaxRetriesForLocalSiteShadow","2"
"MaxRetriesForRemoteSiteShadow","4"
"MaxSendSize","Unlimited"
"MigrationEnabled","False"
"Name","Transport Config"
"ObjectCategory","fnbm.corp/Configuration/Schema/ms-Exch-Transport-Settings"
"ObjectClass","top container msExchTransportSettings"
"ObjectState","Unchanged"
"OpenDomainRoutingEnabled","False"
"OrganizationFederatedMailbox","FederatedEmail.4c1f4d8b-8179-4148-93bf-00a95fa1e042@creditone.com"
"OrganizationId",""
"OriginatingServer","LASDC01.fnbm.corp"
"OtherWellKnownObjects",""
"PreserveReportBodypart","False"
"PSComputerName","lasexch01"
"PSShowComputerName","False"
"QueueDiagnosticsAggregationInterval","00:01:00"
"RedirectDLMessagesForLegacyArchiveJournaling","False"
"RedirectUnprovisionedUserMessagesForLegacyArchiveJournaling","False"
"RejectMessageOnShadowFailure","False"
"Rfc2231EncodingEnabled","False"
"RunspaceId","9996d6f4-5ac4-44d6-a525-ac5287b95f2a"
"SafetyNetHoldTime","7.00:00:00"
"ShadowHeartbeatFrequency","00:02:00"
"ShadowHeartbeatRetryCount","12"
"ShadowHeartbeatTimeoutInterval","00:15:00"
"ShadowMessageAutoDiscardInterval","2.00:00:00"
"ShadowMessagePreferenceSetting","PreferRemote"
"ShadowRedundancyEnabled","True"
"ShadowResubmitTimeSpan","03:00:00"
"SupervisionTags","Reject Allow"
"TLSReceiveDomainSecureList",""
"TLSSendDomainSecureList",""
"TransportRuleAttachmentTextScanLimit","1 MB (1,048,576 bytes)"
"TransportRuleCollectionAddedRecipientsLimit","100"
"TransportRuleCollectionRegexCharsLimit","20 KB (20,480 bytes)"
"TransportRuleConfig","TransportRuleMinProductVersion:14.0.0.0 TransportRuleRegexValidationTimeout:00:00:00.3000000 TransportRuleAttachmentTextScanLimit:1 MB (1,048,576 bytes) TransportRuleSizeLimit:8 KB (8,192 bytes) TransportRuleCollectionRegexCharsLimit:20 KB (20,480 bytes) TransportRuleLimit:300 TransportRuleCollectionAddedRecipientsLimit:100"
"TransportRuleLimit","300"
"TransportRuleMinProductVersion","14.0.0.0"
"TransportRuleRegexValidationTimeout","00:00:00.3000000"
"TransportRuleSizeLimit","8 KB (8,192 bytes)"
"TransportSystemState",""
"VerifySecureSubmitEnabled","False"
"VoicemailJournalingEnabled","True"
"WhenChanged","12/07/2016 22:32:54"
"WhenChangedUTC","12/08/2016 06:32:54"
"WhenCreated","07/11/2012 22:50:52"
"WhenCreatedUTC","07/12/2012 05:50:52"
"Xexch50Enabled","True"
