#TYPE System.Management.Automation.PSCustomObject
"Property","Default Policy"
"",""
"ConditionalCompany",""
"ConditionalCustomAttribute1",""
"ConditionalCustomAttribute10",""
"ConditionalCustomAttribute11",""
"ConditionalCustomAttribute12",""
"ConditionalCustomAttribute13",""
"ConditionalCustomAttribute14",""
"ConditionalCustomAttribute15",""
"ConditionalCustomAttribute2",""
"ConditionalCustomAttribute3",""
"ConditionalCustomAttribute4",""
"ConditionalCustomAttribute5",""
"ConditionalCustomAttribute6",""
"ConditionalCustomAttribute7",""
"ConditionalCustomAttribute8",""
"ConditionalCustomAttribute9",""
"ConditionalDepartment",""
"ConditionalStateOrProvince",""
"DisabledEmailAddressTemplates","smtp:%g.%s@test.creditone.com GWISE:Exch.FNBM Administrative Group.&m"
"EnabledEmailAddressTemplates","SMTP:%g.%s@creditone.com smtp:%g.%s@creditonebank.com X400:c=US;a= ;p=First National B;o=Exchange;"
"EnabledPrimarySMTPAddressTemplate","%g.%s@creditone.com"
"ExchangeVersion","0.1 (8.0.535.0)"
"HasEmailAddressSetting","True"
"HasMailboxManagerSetting","False"
"IncludedRecipients","AllRecipients"
"LastUpdatedRecipientFilter","Alias -ne $null"
"LdapRecipientFilter","(mailNickname=*)"
"Name","Default Policy"
"NonAuthoritativeDomains",""
"Priority","Lowest"
"RecipientContainer",""
"RecipientFilter","Alias -ne $null"
"RecipientFilterApplied","True"
"RecipientFilterType","Precanned"
