"Name","ParentOU","OperatingSystem","Version","ServicePack","Description","Category","PasswordLastSet","LastLogon","Enabled","IsStale","WhenCreated","Notes"
"CYLTFS","OU=Landesk Excluded Server Accounts,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2003","5.2 (3790)","Service Pack 2","","Server","7/6/2016 9:16:00 AM","7/6/2016 9:16:01 AM","True","True","7/17/2012 6:14:45 PM",""
"STG-THEOAPP01","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server? 2008 Standard","6.0 (6002)","Service Pack 2","","Server","10/19/2018 11:49:26 AM","11/8/2018 8:19:27 PM","True","False","6/1/2007 5:46:07 PM",""
"STG-THEOAPP02","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server? 2008 Standard","6.0 (6002)","Service Pack 2","","Server","10/20/2018 7:59:12 PM","11/11/2018 10:32:47 PM","True","False","6/1/2007 5:44:59 PM",""
"TITAN-DEV-APP01","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server? 2008 Standard","6.0 (6002)","Service Pack 2","","Server","10/26/2018 3:38:17 PM","11/7/2018 2:11:17 AM","True","False","10/30/2012 10:10:35 PM",""
"TITAN-DEV-APP02","OU=PCI Policies Applied,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Standard","6.1 (7601)","Service Pack 1","","Server","10/31/2018 8:27:35 PM","11/12/2018 8:34:56 PM","True","False","2/25/2015 5:34:11 PM",""
"VDCLDGAP02","OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2008 R2 Enterprise","6.1 (7601)","Service Pack 1","","Server","11/13/2018 12:48:37 AM","11/10/2018 8:40:21 PM","True","False","6/30/2014 6:29:39 PM",""
"VDCLDGAP03","OU=LoadRunner,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2012 R2 Standard","6.3 (9600)","","","Server","11/6/2018 4:01:51 AM","11/8/2018 6:01:36 AM","True","False","11/7/2016 11:08:49 PM",""
"VDCLDGAP04","OU=LoadRunner,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2012 R2 Standard","6.3 (9600)","","","Server","11/14/2018 10:40:47 AM","11/15/2018 10:04:39 PM","True","False","11/8/2016 12:00:26 AM",""
"VDCLDRAP01","OU=LoadRunner,OU=Servers,OU=Corp Computers,DC=corp,DC=vegas,DC=com","Windows Server 2012 R2 Standard","6.3 (9600)","","","Server","11/14/2018 1:45:35 AM","11/15/2018 6:08:18 AM","True","False","11/7/2016 11:42:56 PM",""
"VDCMADDC01","OU=Domain Controllers,DC=corp,DC=vegas,DC=com","Windows Server 2012 R2 Standard","6.3 (9600)","","","Server","10/20/2018 5:38:18 PM","11/7/2018 4:33:14 PM","True","False","6/15/2015 10:05:41 PM",""
